,Full_NM,EMD_NM,SGG_NM,Final Score
115,홍천군 두촌면,두촌면,홍천군,3.7301811970474796
116,속초시 영랑동,영랑동,속초시,4.828395089386867
117,원주시 판부면,판부면,원주시,4.012342454574583
118,홍천군 내면,내면,홍천군,3.127711052666014
119,동해시 망상동,망상동,동해시,4.6178688940024815
120,횡성군 강림면,강림면,횡성군,7.160182302297776
121,영월군 북면,북면,영월군,4.3143989197607775
122,양구군 동면,동면,양구군,3.9206755215469125
123,영월군 남면,남면,영월군,4.07002905146727
124,속초시 금호동,금호동,속초시,4.79032313599905
125,양구군 방산면,방산면,양구군,3.7941756067695556
126,삼척시 미로면,미로면,삼척시,3.8709891459392987
127,원주시 부론면,부론면,원주시,3.932182631752072
128,정선군 화암면,화암면,정선군,4.340938541483786
129,원주시 귀래면,귀래면,원주시,4.401532915649839
130,영월군 김삿갓면,김삿갓면,영월군,3.2238574400932887
131,화천군 하남면,하남면,화천군,3.7442148262804595
132,속초시 청호동,청호동,속초시,4.695284162572701
133,동해시 삼화동,삼화동,동해시,3.8496320209858244
134,강릉시 내곡동,내곡동,강릉시,4.268566795852635
135,화천군 간동면,간동면,화천군,3.5327822017583217
136,강릉시 초당동,초당동,강릉시,4.434848773413149
137,춘천시 북산면,북산면,춘천시,3.4116792202240784
138,강릉시 왕산면,왕산면,강릉시,3.1128498370101116
139,철원군 근남면,근남면,철원군,3.36733748352043
140,홍천군 내촌면,내촌면,홍천군,3.312477150066733
141,삼척시 노곡면,노곡면,삼척시,3.600812452334263
142,삼척시 하장면,하장면,삼척시,2.3059476602384597
