MSFRTN_RESC_REPRT_NO,ACDNT_CAUSE,PRCS_RESULT_SE_NM,DCLR_YMD,DCLR_TM,DCLR_YR,SEASON_SE_NM,QTR_SE,DCLR_MNTH,DCLR_DAY,DCLR_HOUR,DCLR_MIN,DAYWK,DSP_YMD,DSP_TM,DSP_YR,DSP_MNTH,DSP_DAY,DSP_HOUR,DSP_MIN,SPT_ARVL_YMD,SPT_ARVL_TM,SPT_ARVL_YR,SPT_ARVL_MNTH,SPT_ARVL_DAY,SPT_ARVL_HOUR,SPT_ARVL_MIN,RESC_CMPTN_YMD,RESC_CMPTN_TM,RESC_CMPTN_YR,RESC_CMPTN_MNTH,RESC_CMPTN_DAY,RESC_CMPTN_HOUR,RESC_CMPTN_MIN,HMG_YMD,HMG_TM,HMG_YR,HMG_MNTH,HMG_DAY,HMG_HOUR,HMG_MIN,SIDO_NM,SIGUNGU_NM,EMD_NM,EMD_SE_NM,LOC_INFO_X,LOC_INFO_Y,SPT_FRSTT_DIST,ACDNT_PLACE_NM,ACDNT_PLACE_DETAIL_NM,ACDNT_CAUSE_ASORT_NM,TIME_UNIT_TMPRT,TIME_UNIT_WS,TIME_UNIT_WD,TIME_UNIT_HUMIDITY,FRSTT_NM,WARD_NM,LFDAU_NM
20204201103M00003,작동기기,안전조치,20200101,015418,2020,겨울,1,01,01,01,54,수요일,20200101,015501,2020,01,01,01,55,20200101,020020,2020,01,01,02,00,20200101,020452,2020,01,01,02,04,20200101,023911,2020,01,01,02,39,강원도,춘천시,효자동,동,127.7404,37.8633,0,공동주택,다세대주택,부주의,-8,360.0,2.0,51,춘천소방서,효자119안전센터,
20204202104M00003,미상,안전조치,20200101,091144,2020,겨울,1,01,01,09,11,수요일,20200101,091203,2020,01,01,09,12,20200101,091648,2020,01,01,09,16,20200101,092357,2020,01,01,09,23,20200101,102757,2020,01,01,10,27,강원도,원주시,봉산동,동,,,3,기타건축물,기타 건축물,미상,-6,45.0,2.0,75,원주소방서,단구119안전센터,
20204203108M00007,"불꽃, 불티",안전조치,20200101,125616,2020,겨울,1,01,01,12,56,수요일,20200101,125644,2020,01,01,12,56,20200101,130342,2020,01,01,13,03,20200101,133343,2020,01,01,13,33,20200101,142043,2020,01,01,14,20,강원도,강릉시,성산면,면,128.8408,37.7603,4,산불,사유림,부주의,6,225.0,18.0,34,강릉소방서,유천119안전센터,
20204203103M00007,"마찰, 전도, 복사",안전조치,20200101,145024,2020,겨울,1,01,01,14,50,수요일,20200101,145106,2020,01,01,14,51,20200101,145730,2020,01,01,14,57,20200101,152857,2020,01,01,15,28,20200101,172857,2020,01,01,17,28,강원도,강릉시,주문진읍,읍,128.8235,37.8987,19,단독주택,단독주택,부주의,6,270.0,2.0,29,강릉소방서,주문진119안전센터,
20204209107M00003,작동기기,안전조치,20200101,155021,2020,겨울,1,01,01,15,50,수요일,20200101,155050,2020,01,01,15,50,20200101,155448,2020,01,01,15,54,20200101,155448,2020,01,01,15,54,20200101,172020,2020,01,01,17,20,강원도,영월군,영월읍,읍,128.4647,37.1875,2,일반업무,기타 일반업무시설,전기적 요인,1,270.0,6.5,60,영월소방서,영월119안전센터,
20204211301M00002,"마찰, 전도, 복사",안전조치,20200102,131818,2020,겨울,1,01,02,13,18,목요일,20200102,131852,2020,01,02,13,18,20200102,132318,2020,01,02,13,23,20200102,134915,2020,01,02,13,49,20200102,165015,2020,01,02,16,50,강원도,삼척시,하장면,면,128.9242,37.3575,54,건설기계,덤프트럭,기계적 요인,1,270.0,2.0,51,삼척소방서,도계119안전센터,
20204210105M00160,작동기기,,20200102,155900,2020,겨울,1,01,02,15,59,목요일,20200102,160800,2020,01,02,16,08,20200102,161300,2020,01,02,16,13,20200102,161300,2020,01,02,16,13,20200102,173300,2020,01,02,17,33,강원도,원주시,봉산동,동,,,5,단독주택,단독주택,전기적 요인,3,270.0,2.0,56,원주소방서,단구119안전센터,
20204210103M00002,작동기기,,20200102,183416,2020,겨울,1,01,02,18,34,목요일,20200102,183518,2020,01,02,18,35,20200102,184540,2020,01,02,18,45,20200102,184823,2020,01,02,18,48,20200102,194819,2020,01,02,19,48,강원도,철원군,김화읍,읍,127.4547,38.2879,19,야외,기타야외,전기적 요인,0,225.0,2.0,85,철원소방서,김화119안전센터,
20204219301M00005,작동기기,인명구조,20200102,210735,2020,겨울,1,01,02,21,07,목요일,20200102,210821,2020,01,02,21,08,20200102,212924,2020,01,02,21,29,20200102,215504,2020,01,02,21,55,20200102,220039,2020,01,02,22,00,강원도,춘천시,사북면,면,127.6406,38.0322,22,단독주택,단독주택,기계적 요인,-2,360.0,2.0,81,춘천소방서,신북119안전센터,
20204201110M00006,"담뱃불, 라이터불",안전조치,20200103,000427,2020,겨울,1,01,03,00,04,금요일,20200103,000512,2020,01,03,00,05,20200103,001833,2020,01,03,00,18,20200103,003314,2020,01,03,00,33,20200103,005726,2020,01,03,00,57,강원도,춘천시,신동면,면,127.687,37.8033,14,야외,쓰레기,부주의,-4,360.0,2.0,90,춘천소방서,강촌119안전센터,
20204200122M00010,미상,안전조치,20200103,122230,2020,겨울,1,01,03,12,22,금요일,20200103,122307,2020,01,03,12,23,20200103,123748,2020,01,03,12,37,20200103,150500,2020,01,03,15,05,20200103,155500,2020,01,03,15,55,강원도,춘천시,서면,면,127.642,37.9794,16,산불,국유림,미상,1,180.0,2.0,51,춘천소방서,신북119안전센터,
20204203103M00027,"담뱃불, 라이터불",,20200103,130343,2020,겨울,1,01,03,13,03,금요일,20200103,130431,2020,01,03,13,04,20200103,130839,2020,01,03,13,08,20200103,131032,2020,01,03,13,10,20200103,133000,2020,01,03,13,30,강원도,강릉시,초당동,동,128.9131,37.7911,7,야외,기타야외,부주의,12,270.0,10.5,20,강릉소방서,경포119안전센터,
20204203108M00024,작동기기,안전조치,20200103,142441,2020,겨울,1,01,03,14,24,금요일,20200103,142541,2020,01,03,14,25,20200103,142959,2020,01,03,14,29,20200103,144125,2020,01,03,14,41,20200103,161725,2020,01,03,16,17,강원도,강릉시,성산면,면,128.8574,37.7475,4,단독주택,상가주택(주택부분에서 화재가 발생한 경우에만 해당),전기적 요인,10,225.0,10.5,23,강릉소방서,유천119안전센터,
20204202303M00004,작동기기,기타,20200103,142850,2020,겨울,1,01,03,14,28,금요일,20200103,142942,2020,01,03,14,29,20200103,143322,2020,01,03,14,33,20200103,144500,2020,01,03,14,45,20200103,152105,2020,01,03,15,21,강원도,원주시,소초면,면,127.995,37.4117,13,공장시설,인쇄업,전기적 요인,4,270.0,6.5,36,원주소방서,태장119안전센터,소초119지역대
20204201102M00014,작동기기,안전조치,20200103,161659,2020,겨울,1,01,03,16,16,금요일,20200103,161728,2020,01,03,16,17,20200103,162051,2020,01,03,16,20,20200103,163353,2020,01,03,16,33,20200103,171033,2020,01,03,17,10,강원도,춘천시,근화동,동,127.7139,37.8733,5,자동차,화물자동차,기계적 요인,1,360.0,2.0,10,춘천소방서,소양119안전센터,
20204205103M00003,"불꽃, 불티",안전조치,20200103,202944,2020,겨울,1,01,03,20,29,금요일,20200103,203034,2020,01,03,20,30,20200103,203251,2020,01,03,20,32,20200103,204210,2020,01,03,20,42,20200103,205410,2020,01,03,20,54,강원도,태백시,철암동,동,129.0403,37.1158,12,야외,쓰레기,부주의,-1,90.0,2.0,41,태백소방서,철암119안전센터,
20204200122M00001,미상,,20200104,135416,2020,겨울,1,01,04,13,54,토요일,20200104,135503,2020,01,04,13,55,20200104,141413,2020,01,04,14,14,20200104,172530,2020,01,04,17,25,20200104,172530,2020,01,04,17,25,강원도,춘천시,신북읍,읍,127.7354,37.9666,0,산불,사유림,미상,5,225.0,2.0,41,춘천소방서,신북119안전센터,
20204200107M00004,"불꽃, 불티",자체처리,20200104,144933,2020,겨울,1,01,04,14,49,토요일,20200104,145033,2020,01,04,14,50,20200104,151319,2020,01,04,15,13,20200104,154040,2020,01,04,15,40,20200104,174540,2020,01,04,17,45,강원도,정선군,신동읍,읍,128.5828,37.255,40,산불,사유림,부주의,5,225.0,2.0,43,정선소방서,신동119안전센터,
20204201114M00046,"불꽃, 불티",안전조치,20200104,145448,2020,겨울,1,01,04,14,54,토요일,20200104,145527,2020,01,04,14,55,20200104,150111,2020,01,04,15,01,20200104,150924,2020,01,04,15,09,20200104,154232,2020,01,04,15,42,강원도,춘천시,동면,면,127.7616,37.8808,3,들불,들판,부주의,7,225.0,2.0,35,춘천소방서,후평119안전센터,
20204214102M00018,미상,안전조치,20200104,211731,2020,겨울,1,01,04,21,17,토요일,20200104,211813,2020,01,04,21,18,20200104,212137,2020,01,04,21,21,20200104,212137,2020,01,04,21,21,20200105,002000,2020,01,05,00,20,강원도,평창군,진부면,면,128.5608,37.6348,38,단독주택,단독주택,미상,-5,180.0,2.0,71,평창소방서,진부119안전센터,
20204203104M00022,"담뱃불, 라이터불",,20200104,220104,2020,겨울,1,01,04,22,01,토요일,20200104,220215,2020,01,04,22,02,20200104,220847,2020,01,04,22,08,20200104,220855,2020,01,04,22,08,20200104,225639,2020,01,04,22,56,강원도,강릉시,주문진읍,읍,128.8333,37.8934,20,야외,기타야외,부주의,4,270.0,2.0,39,강릉소방서,주문진119안전센터,
20204202109M00020,미상,인명검색,20200104,230046,2020,겨울,1,01,04,23,00,토요일,20200104,230117,2020,01,04,23,01,20200104,230639,2020,01,04,23,06,20200105,005428,2020,01,05,00,54,20200105,020028,2020,01,05,02,00,강원도,원주시,우산동,동,127.929,37.3706,8,학교,대학교,미상,-2,225.0,2.0,71,원주소방서,우산119안전센터,
20204216302M00009,"불꽃, 불티",,20200104,233528,2020,겨울,1,01,04,23,35,토요일,20200104,233601,2020,01,04,23,36,20200104,233633,2020,01,04,23,36,20200104,233712,2020,01,04,23,37,20200105,002410,2020,01,05,00,24,강원도,고성군,토성면,면,128.5511,38.2708,17,야외,기타야외,부주의,2,315.0,2.0,37,고성소방서,동광119안전센터,
20204205105M00022,"불꽃, 불티",기타,20200105,070133,2020,겨울,1,01,05,07,01,일요일,20200105,070230,2020,01,05,07,02,20200105,070713,2020,01,05,07,07,20200105,071218,2020,01,05,07,12,20200105,071807,2020,01,05,07,18,강원도,태백시,황지동,동,128.9823,37.1542,1,야외,기타야외,부주의,-10,45.0,2.0,86,태백소방서,황지119안전센터,
20204203104M00026,작동기기,안전조치,20200105,121519,2020,겨울,1,01,05,12,15,일요일,20200105,121609,2020,01,05,12,16,20200105,121920,2020,01,05,12,19,20200105,123534,2020,01,05,12,35,20200105,130805,2020,01,05,13,08,강원도,강릉시,주문진읍,읍,128.8297,37.8822,17,단독주택,단독주택,부주의,9,45.0,2.0,36,강릉소방서,주문진119안전센터,
20204207102M00007,"담뱃불, 라이터불",안전조치,20200105,133805,2020,겨울,1,01,05,13,38,일요일,20200105,133904,2020,01,05,13,39,20200105,135319,2020,01,05,13,53,20200105,142925,2020,01,05,14,29,20200105,145340,2020,01,05,14,53,강원도,삼척시,도계읍,읍,129.0499,37.273,32,야외,기타야외,부주의,4,315.0,2.0,23,삼척소방서,도계119안전센터,
20204214106M00023,미상,타기관처리,20200105,164729,2020,겨울,1,01,05,16,47,일요일,20200105,164847,2020,01,05,16,48,20200105,165301,2020,01,05,16,53,20200105,171256,2020,01,05,17,12,20200105,191000,2020,01,05,19,10,강원도,평창군,평창읍,읍,,,2,단독주택,단독주택,미상,4,225.0,2.0,34,평창소방서,평창119안전센터,
20204204104M00007,"불꽃, 불티",기타,20200106,190856,2020,겨울,1,01,06,19,08,월요일,20200106,190942,2020,01,06,19,09,20200106,191715,2020,01,06,19,17,20200106,194344,2020,01,06,19,43,20200106,205506,2020,01,07,20,55,강원도,삼척시,마달동,동,129.1577,37.4595,2,단독주택,단독주택,기타,7,,2.0,55,삼척소방서,봉황119안전센터,
20204207106M00029,미상,인명검색,20200106,201024,2020,겨울,1,01,06,20,10,월요일,20200106,201855,2020,01,06,20,18,20200106,202315,2020,01,06,20,23,20200106,202315,2020,01,06,20,23,20200106,213812,2020,01,06,21,38,강원도,삼척시,남양동,동,129.1677,37.4449,1,판매시설,상가빌딩,미상,7,225.0,2.0,51,삼척소방서,봉황119안전센터,
20204213103M00012,미상,안전조치,20200107,013318,2020,겨울,1,01,07,01,33,화요일,20200107,013343,2020,01,07,01,33,20200107,014229,2020,01,07,01,42,20200107,020904,2020,01,07,02,09,20200107,034623,2020,01,07,03,46,강원도,횡성군,우천면,면,128.0642,37.4543,10,공장시설,방직공업,미상,5,315.0,2.0,98,횡성소방서,우천119안전센터,
20204211105M00006,작동기기,안전조치,20200107,020738,2020,겨울,1,01,07,02,07,화요일,20200107,020809,2020,01,07,02,08,20200107,021220,2020,01,07,02,12,20200107,021541,2020,01,07,02,15,20200107,025534,2020,01,07,02,55,강원도,정선군,정선읍,읍,128.6656,37.3807,1,판매시설,상가빌딩,전기적 요인,1,180.0,2.0,99,정선소방서,조양119안전센터,
20204208107M00036,작동기기,자체처리,20200107,144414,2020,겨울,1,01,07,14,44,화요일,20200107,144449,2020,01,07,14,44,20200107,145744,2020,01,07,14,57,20200107,150451,2020,01,07,15,04,20200107,172000,2020,01,07,17,20,강원도,홍천군,홍천읍,읍,127.8953,37.6338,9,기타건축물,기타 건축물,전기적 요인,4,315.0,2.0,98,홍천소방서,홍천119안전센터,
20204201102M00051,작동기기,,20200107,215342,2020,겨울,1,01,07,21,53,화요일,20200107,215453,2020,01,07,21,54,20200107,215952,2020,01,07,21,59,20200107,215952,2020,01,07,21,59,20200107,231500,2020,01,07,23,15,강원도,춘천시,소양로3가,동,127.7251,37.8834,3,위락시설,유흥주점,전기적 요인,6,315.0,2.0,96,춘천소방서,소양119안전센터,
20204206103M00053,작동기기,안전조치,20200108,021850,2020,겨울,1,01,08,02,18,수요일,20200108,021947,2020,01,08,02,19,20200108,022523,2020,01,08,02,25,20200108,022523,2020,01,08,02,25,20200108,032046,2020,01,08,03,20,강원도,속초시,조양동,동,128.5818,38.1891,3,일반업무,일반빌딩,전기적 요인,10,315.0,2.0,96,속초소방서,노학119안전센터,
20204206103M00055,작동기기,기타,20200108,090632,2020,겨울,1,01,08,09,06,수요일,20200108,090708,2020,01,08,09,07,20200108,091423,2020,01,08,09,14,20200108,091524,2020,01,08,09,15,20200108,093124,2020,01,08,09,31,강원도,속초시,영랑동,동,128.5922,38.2194,4,자동차시설,"자동차검사장, 매매장, 부속상, 정비공장",전기적 요인,6,315.0,,96,속초소방서,영랑119안전센터,
20204215101M00019,"마찰, 전도, 복사",안전조치,20200108,131732,2020,겨울,1,01,08,13,17,수요일,20200108,131832,2020,01,08,13,18,20200108,132549,2020,01,08,13,25,20200108,141525,2020,01,08,14,15,20200108,141525,2020,01,08,14,15,강원도,인제군,북면,면,128.2117,38.1386,10,야외,쓰레기,기타,5,45.0,2.0,76,인제소방서,원통119안전센터,
20204204103M00024,작동기기,안전조치,20200108,233441,2020,겨울,1,01,08,23,34,수요일,20200108,233540,2020,01,08,23,35,20200108,234118,2020,01,08,23,41,20200109,001526,2020,01,09,00,15,20200109,012724,2020,01,09,01,27,강원도,동해시,단봉동,동,129.1112,37.4853,4,단독주택,단독주택,전기적 요인,6,315.0,2.0,62,동해소방서,북평119안전센터,
20204213102M00019,작동기기,안전조치,20200109,125040,2020,겨울,1,01,09,12,50,목요일,20200109,125101,2020,01,09,12,51,20200109,130121,2020,01,09,13,01,20200109,131943,2020,01,09,13,19,20200109,151909,2020,01,09,15,19,강원도,횡성군,안흥면,면,128.1451,37.4658,24,자동차,화물자동차,기계적 요인,-3,270.0,2.0,88,횡성소방서,우천119안전센터,
20204210103M00014,"불꽃, 불티",인명검색,20200109,130149,2020,겨울,1,01,09,13,01,목요일,20200109,130235,2020,01,09,13,02,20200109,130637,2020,01,09,13,06,20200109,132859,2020,01,09,13,28,20200109,181117,2020,01,09,18,11,강원도,철원군,서면,면,127.4345,38.2328,16,"연구,학원",예체능학원,부주의,-1,90.0,2.0,0,철원소방서,김화119안전센터,
20204213103M00021,미상,안전조치,20200109,153657,2020,겨울,1,01,09,15,36,목요일,20200109,153729,2020,01,09,15,37,20200109,155037,2020,01,09,15,50,20200109,164212,2020,01,09,16,42,20200109,174459,2020,01,09,17,44,강원도,횡성군,안흥면,면,128.1417,37.4644,13,동식물시설,돈사,미상,-1,270.0,2.0,77,횡성소방서,우천119안전센터,안흥지역대
20204209107M00039,"불꽃, 불티",안전조치,20200109,210711,2020,겨울,1,01,09,21,07,목요일,20200109,210821,2020,01,09,21,08,20200109,211649,2020,01,09,21,16,20200109,213530,2020,01,09,21,35,20200109,220030,2020,01,09,22,00,강원도,영월군,영월읍,읍,,,8,창고시설,기타 창고,부주의,-4,225.0,2.0,78,영월소방서,영월119안전센터,
20204213102M00020,작동기기,안전조치,20200110,132443,2020,겨울,1,01,10,13,24,금요일,20200110,132542,2020,01,10,13,25,20200110,133928,2020,01,10,13,39,20200110,135947,2020,01,10,13,59,20200110,155057,2020,01,10,15,50,강원도,횡성군,안흥면,면,128.1541,37.4639,26,기타건축물,기타 건축물,전기적 요인,-1,45.0,2.0,77,횡성소방서,둔내119안전센터,
20204201112M00042,"불꽃, 불티",안전조치,20200110,154232,2020,겨울,1,01,10,15,42,금요일,20200110,154307,2020,01,10,15,43,20200110,154625,2020,01,10,15,46,20200110,154854,2020,01,10,15,48,20200110,162608,2020,01,10,16,26,강원도,춘천시,우두동,동,127.7433,37.9067,4,야외,쓰레기,부주의,4,180.0,2.0,50,춘천소방서,신북119안전센터,
20204217302M00036,작동기기,자체처리,20200110,170243,2020,겨울,1,01,10,17,02,금요일,20200110,170341,2020,01,10,17,03,20200110,171419,2020,01,10,17,14,20200110,171809,2020,01,10,17,18,20200110,203409,2020,01,10,20,34,강원도,인제군,상남면,면,,,42,자동차,승용자동차,교통사고,-3,225.0,2.0,77,인제소방서,기린119안전센터,
20204211301M00011,작동기기,인명검색,20200111,045947,2020,겨울,1,01,11,04,59,토요일,20200111,050249,2020,01,11,05,02,20200111,050752,2020,01,11,05,07,20200111,051934,2020,01,11,05,19,20200111,081500,2020,01,11,08,15,강원도,정선군,여량면,면,,,20,공장시설,식료품공업,전기적 요인,-6,135.0,2.0,94,정선소방서,임계119안전센터,여량면119지역대
20204209107M00045,"불꽃, 불티",안전조치,20200111,151450,2020,겨울,1,01,11,15,14,토요일,20200111,151606,2020,01,11,15,16,20200111,152458,2020,01,11,15,24,20200111,160403,2020,01,11,16,04,20200111,175209,2020,01,11,17,52,강원도,영월군,한반도면,면,128.3689,37.2172,12,창고시설,기타 창고,부주의,4,225.0,2.0,47,영월소방서,주천119안전센터,한반도119지역대
20204204102M00066,"폭발물, 폭죽",,20200111,190927,2020,겨울,1,01,11,19,09,토요일,20200111,191006,2020,01,11,19,10,20200111,191452,2020,01,11,19,14,20200111,191452,2020,01,11,19,14,20200111,192736,2020,01,11,19,27,강원도,동해시,발한동,동,129.1003,37.5462,12,야외,기타야외,부주의,4,135.0,2.0,44,동해소방서,묵호119안전센터,
20204211103M00012,작동기기,타기관처리,20200112,103908,2020,겨울,1,01,12,10,39,일요일,20200112,104024,2020,01,12,10,40,20200112,104452,2020,01,12,10,44,20200112,104452,2020,01,12,10,44,20200112,112253,2020,01,12,11,22,강원도,정선군,신동읍,읍,128.6436,37.2153,32,공장시설,광업,기계적 요인,-2,225.0,2.0,71,정선소방서,신동119안전센터,
20204202113M00026,"담뱃불, 라이터불",안전조치,20200112,110130,2020,겨울,1,01,12,11,01,일요일,20200112,110209,2020,01,12,11,02,20200112,110729,2020,01,12,11,07,20200112,111010,2020,01,12,11,10,20200112,115042,2020,01,12,11,50,강원도,원주시,반곡동,동,127.9838,37.3186,3,야외,기타야외,부주의,1,270.0,2.0,52,원주소방서,혁신119안전센터,명륜119지역대
20204201102M00084,"마찰, 전도, 복사",인명검색,20200112,113135,2020,겨울,1,01,12,11,31,일요일,20200112,113155,2020,01,12,11,31,20200112,113549,2020,01,12,11,35,20200112,113900,2020,01,12,11,39,20200112,133129,2020,01,12,13,31,강원도,춘천시,교동,동,127.7335,37.8795,0,작업장,기타 작업장,기계적 요인,-1,225.0,2.0,62,춘천소방서,후평119안전센터,
20204216302M00027,"불꽃, 불티",안전조치,20200112,142824,2020,겨울,1,01,12,14,28,일요일,20200112,142857,2020,01,12,14,28,20200112,143516,2020,01,12,14,35,20200112,145105,2020,01,12,14,51,20200112,154040,2020,01,12,15,40,강원도,고성군,토성면,면,128.5592,38.2519,18,야외,기타야외,부주의,5,315.0,2.0,37,고성소방서,동광119안전센터,
20204202105M00036,"담뱃불, 라이터불",타기관처리,20200112,210419,2020,겨울,1,01,12,21,04,일요일,20200112,210458,2020,01,12,21,04,20200112,210804,2020,01,12,21,08,20200112,213003,2020,01,12,21,30,20200112,215003,2020,01,12,21,50,강원도,원주시,소초면,면,127.9647,37.4047,11,야외,쓰레기,부주의,-2,225.0,2.0,71,원주소방서,태장119안전센터,
20204204104M00022,"마찰, 전도, 복사",,20200113,105736,2020,겨울,1,01,13,10,57,월요일,20200113,105918,2020,01,13,10,59,20200113,110247,2020,01,13,11,02,20200113,111003,2020,01,13,11,10,20200113,130003,2020,01,13,13,00,강원도,동해시,단봉동,동,129.14,37.485,2,동식물시설,농예용 온실,기계적 요인,4,315.0,2.0,28,동해소방서,북평119안전센터,
20204201112M00063,"불꽃, 불티",타기관처리,20200113,131425,2020,겨울,1,01,13,13,14,월요일,20200113,131459,2020,01,13,13,14,20200113,132146,2020,01,13,13,21,20200113,132506,2020,01,13,13,25,20200113,140500,2020,01,13,14,05,강원도,춘천시,신동,동,127.7181,37.9407,7,기타건축물,기타 건축물,부주의,0,135.0,2.0,40,춘천소방서,신북119안전센터,
20204201110M00027,작동기기,안전조치,20200113,181513,2020,겨울,1,01,13,18,15,월요일,20200113,181541,2020,01,13,18,15,20200113,183703,2020,01,13,18,37,20200113,224135,2020,01,13,22,41,20200113,224135,2020,01,13,22,41,강원도,춘천시,남산면,면,127.5823,37.7943,34,숙박시설,펜션,전기적 요인,-2,270.0,2.0,37,춘천소방서,강촌119안전센터,
20204202105M00039,"마찰, 전도, 복사",,20200113,212400,2020,겨울,1,01,13,21,24,월요일,20200113,212400,2020,01,13,21,24,20200113,213509,2020,01,13,21,35,20200113,214040,2020,01,13,21,40,20200113,223440,2020,01,13,22,34,강원도,원주시,소초면,면,128.002,37.4204,33,자동차,화물자동차,기계적 요인,-6,225.0,2.0,63,원주소방서,태장119안전센터,
20204208102M00017,미상,기타,20200113,233536,2020,겨울,1,01,13,23,35,월요일,20200113,233900,2020,01,13,23,39,20200113,235402,2020,01,13,23,54,20200114,004435,2020,01,14,00,44,20200114,022835,2020,01,14,02,28,강원도,홍천군,남면,면,127.8296,37.5881,25,창고시설,기타 창고,미상,-6,45.0,2.0,63,홍천소방서,양덕원119안전센터,
20204215101M00031,작동기기,,20200115,075216,2020,겨울,1,01,15,07,52,수요일,20200115,075241,2020,01,15,07,52,20200115,075810,2020,01,15,07,58,20200115,080654,2020,01,15,08,06,20200115,091828,2020,01,15,09,18,강원도,인제군,인제읍,읍,128.1931,38.1086,8,자동차,화물자동차,전기적 요인,-11,,2.0,89,인제소방서,인제119안전센터,
20204215103M00019,작동기기,,20200115,113834,2020,겨울,1,01,15,11,38,수요일,20200115,113834,2020,01,15,11,38,20200115,114751,2020,01,15,11,47,20200115,120629,2020,01,15,12,06,20200115,132011,2020,01,15,13,20,강원도,홍천군,두촌면,면,128.048,37.9109,87,건설기계,굴삭기,전기적 요인,-1,225.0,2.0,51,홍천소방서,홍천119안전센터,두촌119지역대
20204202111M00039,"마찰, 전도, 복사",자체처리,20200115,132604,2020,겨울,1,01,15,13,26,수요일,20200115,132653,2020,01,15,13,26,20200115,142744,2020,01,15,14,27,20200115,142834,2020,01,15,14,28,20200115,162236,2020,01,15,16,22,강원도,원주시,문막읍,읍,127.7954,37.272,27,자동차,승용자동차,기계적 요인,1,225.0,2.0,36,원주소방서,문막119안전센터,
20204202305M00033,작동기기,타기관처리,20200115,133050,2020,겨울,1,01,15,13,30,수요일,20200115,133333,2020,01,15,13,33,20200115,134609,2020,01,15,13,46,20200115,134822,2020,01,15,13,48,20200115,151317,2020,01,15,15,13,강원도,원주시,문막읍,읍,127.8175,37.3144,27,자동차,승용자동차,기계적 요인,2,315.0,6.5,36,원주소방서,문막119안전센터,지정119지역대
20204200122M00006,"불꽃, 불티",안전조치,20200115,134628,2020,겨울,1,01,15,13,46,수요일,20200115,134709,2020,01,15,13,47,20200115,135128,2020,01,15,13,51,20200115,141019,2020,01,15,14,10,20200115,155419,2020,01,15,15,54,강원도,양양군,양양읍,읍,128.6259,38.0578,2,산불,국유림,기계적 요인,5,315.0,6.5,23,양양소방서,양양119안전센터,
20204202105M00042,작동기기,안전조치,20200115,162136,2020,겨울,1,01,15,16,21,수요일,20200115,162204,2020,01,15,16,22,20200115,162940,2020,01,15,16,29,20200115,164550,2020,01,15,16,45,20200115,180515,2020,01,15,18,05,강원도,원주시,소초면,면,127.9861,37.3867,10,단독주택,단독주택,전기적 요인,-1,225.0,2.0,38,원주소방서,태장119안전센터,소초119지역대
20204202113M00036,작동기기,기타,20200116,132517,2020,겨울,1,01,16,13,25,목요일,20200116,132603,2020,01,16,13,26,20200116,133309,2020,01,16,13,33,20200116,133607,2020,01,16,13,36,20200116,140212,2020,01,16,14,02,강원도,원주시,행구동,동,128.0045,37.3368,3,야외,기타야외,부주의,-4,315.0,2.0,27,원주소방서,혁신119안전센터,명륜119지역대
20204203105M00078,작동기기,안전조치,20200116,142150,2020,겨울,1,01,16,14,21,목요일,20200116,142238,2020,01,16,14,22,20200116,142558,2020,01,16,14,25,20200116,150749,2020,01,16,15,07,20200116,170849,2020,01,16,17,08,강원도,강릉시,구정면,면,128.8804,37.7258,6,단독주택,단독주택,전기적 요인,3,225.0,2.0,29,강릉소방서,내곡119안전센터,
20204205102M00027,미상,안전조치,20200116,165525,2020,겨울,1,01,16,16,55,목요일,20200116,165601,2020,01,16,16,56,20200116,170149,2020,01,16,17,01,20200116,171021,2020,01,16,17,10,20200116,175150,2020,01,16,17,51,강원도,태백시,장성동,동,,,12,자동차,승용자동차,미상,2,270.0,2.0,18,태백소방서,장성119안전센터,
20204204104M00028,"마찰, 전도, 복사",기타,20200116,170836,2020,겨울,1,01,16,17,08,목요일,20200116,170911,2020,01,16,17,09,20200116,171317,2020,01,16,17,13,20200116,171844,2020,01,16,17,18,20200116,201344,2020,01,16,20,13,강원도,동해시,호현동,동,129.1316,37.4654,2,기타건축물,기타 건축물,부주의,5,360.0,2.0,36,동해소방서,북평119안전센터,
20204202303M00024,미상,안전조치,20200116,173911,2020,겨울,1,01,16,17,39,목요일,20200116,173942,2020,01,16,17,39,20200116,174450,2020,01,16,17,44,20200116,175812,2020,01,16,17,58,20200116,195953,2020,01,16,19,59,강원도,원주시,소초면,면,127.9763,37.3805,9,창고시설,"창고, 물품저장소",미상,-2,225.0,2.0,58,원주소방서,태장119안전센터,
20204213105M00058,"담뱃불, 라이터불",,20200116,181252,2020,겨울,1,01,16,18,12,목요일,20200116,181336,2020,01,16,18,13,20200116,181904,2020,01,16,18,19,20200116,182200,2020,01,16,18,22,20200116,184700,2020,01,16,18,47,강원도,횡성군,횡성읍,읍,,,3,자동차,화물자동차,부주의,-2,270.0,2.0,59,횡성소방서,횡성119안전센터,
20204203108M00114,"담뱃불, 라이터불",안전조치,20200116,205916,2020,겨울,1,01,16,20,59,목요일,20200116,210004,2020,01,16,21,00,20200116,210336,2020,01,16,21,03,20200116,212047,2020,01,16,21,20,20200116,215004,2020,01,16,21,50,강원도,강릉시,유천동,동,128.86,37.7589,2,야외,쓰레기,부주의,1,180.0,2.0,35,강릉소방서,유천119안전센터,
